Family,Identifier,Sort-As,Security Requirement,Assessment Objective,Potential Assessment Method and Objects: Examine,Potential Assessment Method and Objects: Interview,Potential Assessment Method and Objects: Test
Access Control,3.1.1,03.01.01.0,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems).",Determine If: ,"[SELECT FROM: Access control policy; procedures addressing account management; security plan; system design documentation; system configuration settings and associated documentation; list of active system accounts and the name of the individual associated with each account; list of conditions for group and role membership; notifications or records of recently transferred, separated, or terminated employees; list of recently disabled system accounts along with the name of the individual associated with each account; access authorization records; account management compliance reviews; system monitoring records; system audit logs and records; other relevant documents or records; list of devices and other systems authorized to connect to organizational systems].",[SELECT FROM: Personnel with account management responsibilities; system or network administrators; personnel with information security responsibilities].,[SELECT FROM: Organizational processes for managing system accounts; mechanisms for implementing account management].
Access Control,"3.1.1[a]	 ",03.01.01.a,,authorized users are identified.,,,
Access Control,3.1.1[b] ,03.01.01.b,,processes acting on behalf of authorized users are identified.,,,
Access Control,3.1.1[c],03.01.01.c,,devices (including other systems) authorized to connect to the system are identified.,,,
Access Control,3.1.1[d],03.01.01.d,,system access is limited to authorized users.,,,
Access Control,3.1.1[e],03.01.01.e,,system access is limited to processes acting on behalf of authorized users.,,,
Access Control,3.1.1[f],03.01.01.f,,system access is limited to authorized devices (including other systems).,,,
Access Control,3.1.2,03.01.02.0,Limit system access to the types of transactions and functions that authorized users are permitted to execute.,Determine if:,"[SELECT FROM: Access control policy; procedures addressing access enforcement; security plan; system design documentation; list of approved authorizations (user privileges) including remote access authorizations; system configuration settings and associated documentation; system audit logs and records; other relevant documents or records].

",[SELECT FROM: Personnel with access enforcement responsibilities; system or network administrators; personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing access control policy].
Access Control,3.1.2[a],03.01.02.a,,the types of transactions and functions that authorized users are permitted to execute are defined,,,
Access Control,3.1.2[b],03.01.02.b,,system access is limited to the defined types of transactions and functions for authorized users.,,,
Access Control,3.1.3,03.01.03.0,Control the flow of CUI in accordance with approved authorizations.,Determine if:,"[SELECT FROM: Access control policy; information flow control policies; procedures addressing information flow enforcement; security plan; system design documentation; system configuration settings and associated documentation; list of information flow authorizations; system baseline configuration; system audit logs and records; other relevant documents or records].

",[SELECT FROM: System or network administrators; personnel with information security responsibilities; system developers].,[SELECT FROM: Mechanisms implementing information flow enforcement policy].
Access Control,3.1.3[a],03.01.03.a,,information flow control policies are defined.,,,
Access Control,3.1.3[b],03.01.03.b,,methods and enforcement mechanisms for controlling the flow of CUI are defined.,,,
